isin,goesto,count
Anarchy,Anarchy,23
Anarchy,Guerrillas,1
Bedlam,Anarchy,22
Bedlam,Bedlam,21
Bedlam,Chaos,2
Bedlam,Destruction,1
Bedlam,Endbringer,2
Bedlam,Fire,1
Chaos,Anarchy,4
Chaos,Bedlam,22
Chaos,Chaos,20
Chaos,Endbringer,1
Destruction,Bedlam,5
Destruction,Chaos,20
Destruction,Destruction,18
Destruction,Endbringer,3
Endbringer,Anarchy,1
Endbringer,Bedlam,1
Endbringer,Chaos,4
Endbringer,Destruction,25
Endbringer,Endbringer,13
Endbringer,Fire,1
Fire,Bedlam,1
Fire,Chaos,2
Fire,Destruction,2
Fire,Endbringer,27
Fire,Fire,12
Guerrillas,Chaos,2
Guerrillas,Destruction,3
Guerrillas,Endbringer,3
Guerrillas,Fire,11
